track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode
BABY HELLO,"Rauw Alejandro, Bizarrap",2023,6,23,1004,35,54266102,130,C#,Minor
Heat Waves,Glass Animals,2020,6,28,22543,63,2557975762,81,B,Major
golden hour,JVKE,2022,7,15,4511,36,751134527,94,C#,Minor
Sweater Weather,The Neighbourhood,2012,5,14,16413,61,2282771485,124,A#,Major
Quevedo: Bzrp Music Sessions - Vol. 52,"Bizarrap, Quevedo",2022,7,6,8506,45,1356565093,128,D,Major
Viva La Vida,Coldplay,2008,1,1,33898,62,1592909789,138,F,Minor
Here With Me,d4vd,2022,7,17,3246,23,635412045,132,E,Major
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022,9,22,8576,42,1230675890,131,D,Major
Yandel 150,"Yandel, Feid",2022,12,20,3618,38,585695368,168,F#,Minor
Corazon VA,Maria Becerra,2023,6,22,370,20,43857627,98,C#,Major
Riptide,Vance Joy,1975,1,1,31123,55,2009094673,102,C#,Major
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,4,22,2790,30,600976848,101,A#,Major
Novidade na area,"Mc Livinho, DJ Matt D",2023,6,23,267,9,39709092,130,F,Major
Back To December (Taylor's Version),Taylor Swift,2023,7,7,139,17,39228929,142,D,Major
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,7,9,17050,36,2665343922,170,C#,Major
El Merengue,"Marshmello, Manuel Turizo",2023,3,3,2114,44,223633238,124,G#,Minor
Someone You Loved,Lewis Capaldi,2018,11,8,17836,53,2887241814,110,C#,Major
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2022,5,6,8870,43,1440757818,92,C#,Minor
Makeba,Jain,2015,6,22,6060,53,165484133,116,D,Major
MONTAGEM - FR PUNK,"Ayparia, unxbected",2012,6,20,641,50,58054811,129,A,Major
Fast Car,Luke Combs,2023,3,24,1446,12,157058870,98,G#,Major
What It Is (Solo Version),Doechii,2023,3,17,804,25,95131998,172,C#,Minor
Coco Chanel,"Bad Bunny, Eladio Carrion",2023,3,17,1962,38,250305248,150,D,Major
Don't Blame Me,Taylor Swift,2017,11,8,4875,23,685032533,136,A,Minor
Still With You,Jung Kook,2020,6,5,31,39,38411956,88,C#,Minor
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023,5,12,2175,23,144565150,143,D#,Major
Say Yes To Heaven,Lana Del Rey,2023,3,17,2000,46,127567540,100,F#,Minor
Snooze,SZA,2022,12,9,2839,25,399686758,143,F,Major
Summertime Sadness,Lana Del Rey,2011,1,1,20333,52,983637508,112,C#,Minor
Take Two,BTS,2023,6,9,674,47,118482347,93,G,Major
Lover,Taylor Swift,2012,1,1,8448,23,882831184,206,G,Major
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2022,12,2,2110,58,286400165,88,G,Minor
Chemical,Post Malone,2023,4,14,2528,39,172825906,170,D,Major
Mockingbird,Eminem,2004,1,1,12985,61,1241559043,84,E,Minor
New Jeans,NewJeans,2023,7,7,77,35,29562220,134,E,Minor
Primera Cita,Carin Leon,2022,4,20,266,27,77309611,158,A#,Major
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017,11,10,21097,52,1605224506,116,C#,Major
Dandelions,Ruth B.,2017,4,28,3423,21,1116995633,117,C#,Major
Bones,Imagine Dragons,2021,3,11,4198,44,838079900,114,F,Minor
Set Fire to the Rain,Adele,2011,1,1,14739,43,1163620694,108,D,Minor
Money Trees,"Kendrick Lamar, Jay Rock",2012,1,1,26792,32,1093605526,144,E,Minor
Tak Segampang Itu,Anggi Marito,2022,12,2,213,6,179659294,130,F,Major
LAGUNAS,"Jasiel Nunez, Peso P",2023,6,22,58,18,39058561,116,B,Major
Mine (Taylor's Version),Taylor Swift,2023,7,7,99,15,36912123,121,G,Major
Everybody Wants To Rule The World,Tears For Fears,1985,2,17,41751,25,1205951614,112,G,Major
No Role Modelz,J. Cole,2014,12,9,21164,36,1791000570,100,A#,Minor
Tattoo,Loreen,2023,2,25,2988,59,201660859,150,D#,Minor
Rara Vez,"Taiu, Milo j",2023,2,8,893,38,248088961,120,F,Minor
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beele",2023,5,12,1094,34,90839753,127,B,Minor
august,Taylor Swift,2020,7,24,7324,22,607123776,90,F,Major
LUNA,"Junior H, Peso Pluma",2023,6,22,201,11,55842345,128,A,Minor
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023,3,10,5120,48,211050784,143,A,Major
Nonsense,Sabrina Carpenter,2022,7,15,2346,27,342897938,139,G#,Major
Que Vuelvas,"Carin Leon, Grupo Frontera",2022,12,9,763,26,515040360,162,A#,Major
Por las Noches,Peso Pluma,2021,6,11,457,24,330346424,92,,Major
Feliz Cumpleanos Fe,Feid,2022,8,19,3430,38,601863821,95,F,Major
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,8,16,6074,52,1953533826,146,D,Major
Watermelon Sugar,Harry Styles,2019,11,17,21915,34,2322580122,95,,Major
lovely - Bonus Track,"Billie Eilish, Khalid",2017,8,11,15032,30,2355719893,115,E,Minor
Rauw Alejandro: Bzrp Music Sessions - Vol. 56,"Rauw Alejandro, Bizarrap",2023,6,21,871,32,66902503,128,B,Major
Queencard,(G)I-DLE,2023,5,15,451,33,96273746,130,E,Minor
OMG,NewJeans,2023,1,2,1783,27,430977451,127,A,Minor
Radio,Lana Del Rey,2011,1,1,9389,46,284819874,150,D,Major
Shakira: Bzrp Music Sessions - Vol. 53,"Shakira, Bizarrap",2023,1,11,5724,44,721975598,122,D,Minor
505,Arctic Monkeys,2007,4,20,13985,25,1217120710,140,,Major
Calling (Spider-Man: Across the Spider-Verse),"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",2023,6,2,1051,16,109276132,140,,Major
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",2022,12,2,1682,46,276259178,119,C#,Minor
Tere Vaaste,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2023,5,22,182,8,54225632,110,G,Minor
Perfect,Ed Sheeran,2017,1,1,16596,13,2559529074,95,G#,Major
Romantic Homicide,d4vd,2022,7,20,2335,23,681583126,132,F#,Major
Believer,Imagine Dragons,2017,1,31,18986,23,2594040133,125,A#,Minor
Novo Balanco,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2023,5,19,283,7,81102253,124,D#,Minor
Gol Bolinha Gol Quadrado 2,"Mc Pedrinho, DJ 900",2023,6,1,293,8,11956641,133,B,Minor
Without Me,Eminem,2002,1,1,21081,43,1687664027,112,G,Major
QUEMA,"Sog, Ryan Castro, Peso Pluma",2023,7,13,437,31,11599388,97,,Major
Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,11,24,1275,32,611700552,90,F,Minor
Ojitos Lindos,"Bomba Estereo, Bad B",2022,5,6,6135,38,1133865788,80,D#,Minor
Somewhere Only We Know,Keane,2004,1,1,20015,16,1089402494,172,A,Major
Those Eyes,New West,2019,5,10,1507,14,411747614,120,E,Major
El Gordo Trae El Mando,Chino Pacas,2023,1,27,539,21,255932395,140,G,Minor
Mi Bello Angel,Natanael Cano,2023,6,30,86,8,31873544,128,A,Minor
Bye,Peso Pluma,2023,5,26,324,14,95053634,122,,Major
Danza Kuduro,"Don Omar, Lucenzo",2010,1,1,17138,37,1279434863,130,,Major
Nosso Quadro,"Ana Castela, AgroPlay",2023,2,2,894,9,233801632,160,A,Major
Locked Out Of Heaven,Bruno Mars,2012,12,5,1622,9,1481349984,144,F,Major
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",2023,4,4,561,14,142095275,192,B,Major
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,6,17,5871,27,618885532,163,,Major
Counting Stars,OneRepublic,2013,1,1,29215,43,2011464183,122,C#,Minor
Ghost,Justin Bieber,2021,3,19,5866,24,1167330737,154,D,Major
Under The Influence,Chris Brown,2019,10,4,3859,26,929964809,117,A,Minor
PRC,"Natanael Cano, Peso Pluma",2023,1,23,961,26,436027885,138,G,Minor
Gasolina,Daddy Yankee,2004,7,13,6457,18,657723613,96,,Major
One Dance,"Drake, WizKid, Kyla",2016,4,4,43257,24,2713922350,104,C#,Major
Enchanted,Taylor Swift,2010,1,1,4564,16,621660989,164,G#,Major
Save Your Tears,The Weeknd,2020,3,20,12688,13,1591223784,118,,Major
Sure Thing,Miguel,2010,5,25,13801,19,950906471,81,B,Minor
Every Breath You Take - Remastered 2003,The Police,1983,1,6,22439,19,1593270737,117,C#,Major
The Night We Met,Lord Huron,2015,2,2,18515,35,1410088830,174,D,Major
We Found Love,"Rihanna, Calvin Harris",2011,1,1,36843,21,1235005533,128,C#,Major
When I Was Your Man,Bruno Mars,2012,12,5,2420,11,1661187319,145,,Major
Let Me Down Slowly,Alec Benjamin,2018,5,25,5897,19,1374581173,150,C#,Minor
Am I Dreaming (Metro Boomin & A$AP Rocky; Roisee),"A$AP Rocky, Metro Boomin, Roisee",2023,6,2,727,16,94186466,90,A,Minor
Do I Wanna Know?,Arctic Monkeys,2013,1,1,33783,26,1788326445,85,F,Major
Demons,Imagine Dragons,2012,1,1,26694,13,1840364617,180,D#,Major
Idol,YOASOBI,2023,4,12,356,16,143573775,166,C#,Major
Reminder,The Weeknd,2016,11,25,6518,17,684675814,160,G#,Major
Shake It Off,Taylor Swift,2014,1,1,21335,13,1113838873,160,G,Major
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013,1,1,23389,29,1267333350,92,D,Major
SNAP,Rosa Linn,2022,3,19,3202,18,726307468,170,,Major
Shape of You,Ed Sheeran,2017,1,6,32181,10,3562543890,96,C#,Minor
Night Changes,One Direction,2014,11,17,7124,18,1131090940,120,G#,Major
Fin de Semana,"Oscar Maydon, Junior H",2023,1,13,592,14,307370144,98,,Major
Creep,Radiohead,1992,9,21,36724,7,1271293243,92,G,Major
Car's Outside,James Arthur,2019,10,18,794,10,265882712,150,A,Major
Apocalypse,Cigarettes After Sex,2017,3,21,13091,17,841749534,94,F,Major
Cheques,Shubh,2023,5,19,67,8,47956378,90,E,Minor
Pink + White,Frank Ocean,2016,8,20,21574,30,806397070,160,A,Major
Circles,Post Malone,2019,8,30,19664,16,2132335812,120,,Major
Just The Way You Are,Bruno Mars,2010,1,1,21106,13,1641426668,109,F,Major
Take Me To Church,Hozier,2013,9,13,23804,31,2135158446,129,E,Minor
Bebe Dame,"Fuerza Regida, Grupo Frontera",2022,12,16,849,22,367316268,157,G,Major
You Belong With Me,Taylor Swift,2021,4,9,2619,12,350381515,130,F#,Major
Titi Me Pregunto,Bad Bunny,2022,5,6,9037,42,1264310836,107,F,Minor
Better Than Revenge (Taylor's Version),Taylor Swift,2023,7,7,86,11,30343206,146,B,Minor
Shut up My Moms Calling,Hotel Ugly,2020,2,10,1788,14,405136812,139,A,Minor
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,7,1,15890,14,1145727611,116,,Major
Es un Secreto,Plan B,2010,7,20,492,36,540654286,95,F#,Minor
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",2023,6,8,773,33,57312735,170,G#,Minor
Ditto,NewJeans,2022,12,19,1154,22,397582059,134,F#,Minor
Take On Me,a-ha,1984,10,19,44927,17,1479115056,84,F#,Minor
Annihilate (Spider-Man: Across the Spider-Verse),"Swae Lee, Lil Wayne, Offset, Metro Boomin",2023,6,2,551,4,86773632,146,B,Minor
Angel Pt 1 (feat. Jimin of BTS; JVKE & Muni Long),"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,5,1,577,14,133753727,74,A#,Minor
Acros,Shakira,2023,5,11,955,29,123124076,144,B,Major
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",2022,11,24,995,19,463564958,136,B,Minor
Phir Aur Kya Chahiye,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",2023,5,15,178,6,64533040,100,E,Major
S-Class,Stray Kids,2023,6,2,290,19,65496046,105,F,Minor
Hits Different,Taylor Swift,2023,5,26,547,0,68616963,106,F,Major
Chanel,"Becky G, Peso Pluma",2023,3,30,681,10,161460990,132,D,Major
Self Love (Spider-Man: Across the Spider-Verse),"Metro Boomin, Coi Leray",2023,6,2,332,5,70106975,120,A,Major
Area Codes,"Kaliii, Kaliii",2023,3,17,1197,13,113509496,155,C#,Major
Abcdario,"Junior H, Eden Munoz",2023,5,13,262,5,89933133,129,G#,Major
Obsessed,"Abhijay Sharma, Riar Saab",2022,9,29,161,6,71007139,135,F,Minor
Pisman Degilim,"Semicenk, Dogu ",2023,6,2,185,3,43522589,98,A#,Minor
FLOWER,JISOO,2023,3,31,839,18,232896922,124,A,Minor
All The Way Live (Spider-Man: Across the Spider-Verse),"Future, Lil Uzi Vert, Metro Boomin",2023,6,2,259,0,37126685,135,A,Minor
Eyes Closed,Ed Sheeran,2023,3,23,2915,30,195576623,107,D,Major
Escapism.,"RAYE, 070 Shake",2022,10,12,5129,25,532336353,96,D,Major
La Jumpa,"Arcangel, Bad Bunny",2022,11,30,3794,34,538115192,123,G#,Major
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2023,5,26,588,0,46142772,90,G#,Major
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",2022,12,2,2959,16,401036314,117,F,Minor
Las Morras,"BLESSD, Peso Pluma",2023,4,4,291,8,127026613,133,A,Minor
CHORRITO PA LAS ANIMAS,Feid,2022,12,2,2321,36,345031710,96,G#,Minor
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2022,12,1,536,10,288101651,149,G#,Major
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2023,5,26,359,2,60350538,110,F#,Minor
Players,Coi Leray,2022,11,30,4096,6,335074782,105,F#,Major
Bite Me,ENHYPEN,2023,5,22,349,69,76767396,105,C#,Major
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2023,5,26,381,5,46065667,134,B,Major
Normal,Feid,2022,7,8,2461,36,459276435,170,E,Minor
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2023,6,2,277,1,39666245,81,F#,Major
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2023,3,1,967,5,138517666,154,F#,Major
Bad Habit,Steve Lacy,2022,6,29,8186,12,822633917,169,C#,Major
CUFF IT,Beyonce,2022,7,29,7842,10,595900742,115,G,Major
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2023,6,5,215,6,51985779,84,A,Minor
69,"Nicky Jam, Feid",2023,5,18,1134,22,57945987,93,G#,Major
Nina Bonita,"Sean Paul, Feid",2023,4,21,1305,34,115010040,91,G,Major
Search & Rescue,Drake,2023,4,7,2066,6,175097833,142,A#,Minor
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonce",2023,5,19,896,0,57089066,126,C#,Major
Lavender Haze,Taylor Swift,2022,10,21,3763,8,488386797,97,A#,Major
Link Up - Spider-Verse Remix (Spider-Man: Across the Spider-Verse ),"WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023,6,2,197,0,32761689,101,F,Major
Efecto,Bad Bunny,2022,5,6,4004,33,1047480053,98,G,Minor
Erro Gostoso - Ao Vivo,Simone Mendes,2023,1,27,984,5,153454328,154,F#,Major
Cupido,Tini,2023,2,14,1240,24,217672943,120,A,Major
Just Wanna Rock,Lil Uzi Vert,2022,10,17,3995,13,457184829,150,B,Major
Unstoppable,Sia,2016,1,21,7681,13,939844851,174,A,Major
Until I Found You,Stephen Sanchez,2021,9,1,4427,4,726434358,202,A#,Major
Rich Flex,"Drake, 21 Savage",2022,11,4,4657,18,573633020,153,B,Minor
Easy On Me,Adele,2021,10,14,10195,20,1406111294,142,F,Major
Cartao B,"MC Caverinha, KayBlack",2023,5,11,269,4,71573339,108,A,Minor
Danger (Spider) (Offset & JID),"Offset, JID",2023,6,2,214,0,24975653,143,B,Major
Oi Balde - Ao Vivo,Ze Neto & Crist,2023,2,14,845,2,145458418,108,D,Major
The Real Slim Shady,Eminem,2000,1,1,20763,27,1424589568,104,F,Minor
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",2022,12,16,1267,20,231332117,93,F#,Minor
The Color Violet,Tory Lanez,2021,12,10,2585,32,415932686,105,F#,Minor
Glimpse of Us,Joji,2022,6,10,6330,6,988515741,170,G#,Major
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",2023,5,4,675,1,50847624,178,C#,Minor
Curtains,Ed Sheeran,2023,5,5,715,0,39893489,176,F#,Minor
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2023,5,1,327,13,92035115,104,E,Minor
Haegeum,Agust D,2023,4,21,244,12,118810253,85,G,Major
Conexoes de Mafia feat. Rich the Kid,"Rich The Kid, Matue",2023,4,30,385,4,77233241,117,F#,Minor
MIENTRAS ME CURO DEL CORA,Karol G,2023,2,24,1020,35,206399629,80,,Major
Never Felt So Alone,Labrinth,2023,4,7,1730,3,117747907,98,F,Major
X SI VOLVEMOS,"Karol G, Romeo Santos",2023,2,2,2127,33,266624541,178,C#,Minor
ceilings,Lizzy McAlpine,2022,4,8,3242,9,293186992,148,A,Major
Cupid,Fifty Fifty,2023,2,24,526,10,139681964,120,D,Major
I AM,IVE,2023,4,10,366,15,123132751,122,E,Minor
Cupid (Twin Ver.),FIFTY FIFTY,1997,1,1,472,2,103762518,144,F,Major
Shorty Party,"Cartel De Santa, La Kelly",2023,3,4,432,12,162887075,96,D,Major
Super,SEVENTEEN,2023,4,24,271,12,91221625,137,G#,Major
Slut Me Out,NLE Choppa,2022,4,22,816,4,190490915,121,F#,Minor
Double Fantasy (with Future),"The Weeknd, Future",2023,4,21,1169,0,96180277,119,A,Minor
All Of The Girls You Loved Before,Taylor Swift,2019,8,23,1282,6,185240616,96,D,Major
PROVENZA,Karol G,2022,4,21,6587,34,885093467,111,C#,Major
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023,4,14,1444,4,104992946,148,A,Major
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2023,2,3,356,10,147290338,182,A,Major
Shivers,Ed Sheeran,2021,9,9,10147,30,1302184087,141,D,Major
Igualito a Mi Apa,"Fuerza Regida, Peso Pluma",2022,12,30,265,6,158950978,145,E,Minor
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2023,4,25,351,9,76910644,110,B,Minor
Komang,Raim Laode,2022,8,16,158,4,137123880,134,G,Major
DESPECHA,ROSALIA,2022,7,28,7613,33,782369383,130,G,Major
Made You Look,Meghan Trainor,2022,10,21,3956,6,502574952,145,A#,Major
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023,2,5,1638,10,207033255,130,B,Minor
No Se Va,Grupo Frontera,2022,4,28,924,18,404887295,173,,Major
Punto G,Quevedo,2022,11,4,1985,35,381161027,92,B,Minor
Lovers Rock,TV Girl,2014,6,5,6339,13,466231982,105,F,Minor
METAMORPHOSIS,INTERWORLD,2021,11,25,1561,24,357580552,175,G,Minor
Mami Chula,"Quevedo, Jhayco",2023,4,27,875,4,61105704,120,G,Minor
En Paris,"El Chachito, Junior H",2022,12,24,406,5,198275403,139,D#,Minor
Set Me Free Pt.2,Jimin,2023,3,17,340,13,168448603,132,,Minor
I Was Never There,"The Weeknd, Gesaffelstein",2018,3,29,4188,15,705469769,114,A#,Major
Don't ever say love me (feat. RM of BTS),"RM, Colde",2023,5,4,105,0,34502215,145,B,Minor
Shut Down,BLACKPINK,2022,9,16,1524,17,482175240,110,,Major
Gato de Noche,"Nengo Flow, Bad Bunny",2022,12,22,2651,30,304118600,94,G#,Major
Call Out My Name,The Weeknd,2018,3,29,11087,6,1449799467,134,C#,Major
Like Crazy (English Version),Jimin,2023,3,24,373,19,173627354,120,G,Major
Rosa Pastel,"Jasiel Nunez, Peso P",2023,2,2,200,4,90025258,123,G,Minor
Sunroof,"Nicky Youre, Dazy",2021,12,3,3741,17,652704649,131,A#,Major
Lose Yourself - Soundtrack Version,Eminem,2002,1,1,32502,21,1829992958,171,D,Major
Superman,"Eminem, Dina Rae",2002,5,26,7615,14,655466831,130,E,Minor
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",2023,3,2,1208,34,146409671,94,B,Major
People Pt.2 (feat. IU),"IU, Agust D",2023,4,7,209,4,95816024,89,G,Minor
REMIX EXCLUSIVO,Feid,2023,3,17,1235,9,117206995,87,F,Minor
Arcangel: Bzrp Music Sessions; Vol,"Arcangel, Bizarrap",2023,3,22,654,3,100409613,124,B,Minor
DOGTOOTH,"Tyler, The Creator",2023,3,27,1479,0,80758350,78,G#,Major
10:35,"Tiesto, Tate M",2022,11,1,4942,26,325592432,120,G#,Major
SORRY NOT SORRY,"Tyler, The Creator",2023,3,31,709,0,58473276,96,F#,Minor
HAPPY,NF,2023,3,25,660,0,52722996,106,G,Major
La Bebe,Yng Lvcas,2021,12,24,489,17,191945597,170,D,Minor
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2023,3,24,407,0,77377503,134,B,Minor
Late Night Talking,Harry Styles,2022,5,20,7461,8,743693613,115,A#,Major
